id,name,link,score,user_id,timestamp
1086,What crypto are you most bullish on_ 👇🏻🔥🚀 #crypto #cryptok #altcoin #bitcoin #ethereum #solana #memecoin #aicrypto #token2049 #dubai #cryptocurrency  #ethereum #trojan #crypto #cryptok #ethereum #cryptocurrency #memecoin #cryponews #coinbase #monky #coin,,870.8219149991793,swapnil,2024-12-06 12:48:38
1075,What’s causing ETH to go deflationary_ And what is XEN. #xen #cryptok #ethereum ,,870.7850263075788,swapnil,2024-12-06 12:48:38
1082,Risposta a @Don Pepe  Monky up 4x from my last video 🚀🔥👀 #crypto #cryptok #altcoin #bitcoin #ethereum #solana #cryptocurrency #memecoin #cryponews #coinbase #monky #coin,,870.5607021221842,swapnil,2024-12-06 12:48:38
1081,Risposta a @Meme guy  Do you hold any of these memecoins_ 🚀🔥👀 #crypto #cryptok #altcoin #bitcoin #ethereum #solana #cryptocurrency #memecoin #cryponews #coinbase #brett #floki #birddog,,870.0694786674167,swapnil,2024-12-06 12:48:38
1074,Replying to @Thomas darya You are right for some! #pepe #crypto #memecoins,,860.2692866604843,swapnil,2024-12-06 12:48:38
1087,Make Money from Staking Ether(ETH) 💰#investing #proofofstake #ethereum #memecoin #aicrypto #token2049 #dubai #cryptocurrency  #ethereum #trojan #crypto #cryptok #ethereum #cryptocurrency #memecoin #cryponews #coinbase #monky #coin,,851.7171413045904,swapnil,2024-12-06 12:48:38
1077,Flappy Ethereum Meme Coins #Flappy #meme.,,832.4224824516021,swapnil,2024-12-06 12:48:38
1076,Ethereum Meme Coins #michi.,,829.9140846755537,swapnil,2024-12-06 12:48:38
1083,Brett new videp on brett token 🚀🔥👀 #crypto #cryptok #ethereum #cryptocurrency #memecoin #cryponews #coinbase #monky #coin,,827.5294411904764,swapnil,2024-12-06 12:48:38
1084,Chainswap and chainlink are now official partners!!! #endthestruggletogether #chainswap #chainlink #crypto #cryptok #ethereum #cryptocurrency #memecoin #cryponews #coinbase #monky #coin,,823.7678717610413,swapnil,2024-12-06 12:48:38
