id,name,link,score,user_id,timestamp
158,,,28135.024041264725,afrobeezy,2024-12-06 16:14:49
40,trials to test you...,,27648.243102257693,afrobeezy,2024-12-06 16:14:49
436,,,27566.45229683784,afrobeezy,2024-12-06 16:14:49
142,,,27554.493841133208,afrobeezy,2024-12-06 16:14:49
512,,,27419.58882208268,afrobeezy,2024-12-06 16:14:49
171,,,27308.812148707184,afrobeezy,2024-12-06 16:14:49
461,,,27200.644601183052,afrobeezy,2024-12-06 16:14:49
83,Clarity brings power.,,26866.769863937538,afrobeezy,2024-12-06 16:14:49
84,Just focus on today.,,26704.964640324095,afrobeezy,2024-12-06 16:14:49
52,Matthew 25:29,,26661.038233996536,afrobeezy,2024-12-06 16:14:49
